nearest_facility_id,nearest_facility_type,acq_date,daily_detections,daily_total_frp_mw,daily_max_frp_mw
L100000102149,coal_power,2025-03-25,3,6.27,2.27
L100000102149,coal_power,2025-03-27,1,1.56,1.56
L100000102149,coal_power,2025-03-28,1,2.78,2.78
L100000102149,coal_power,2025-03-29,1,2.37,2.37
L100000102149,coal_power,2025-03-30,2,3.5500000000000003,2.64
L100000102149,coal_power,2025-04-01,1,2.16,2.16
L100000102149,coal_power,2025-04-04,1,2.1,2.1
L100000102149,coal_power,2025-04-06,1,3.09,3.09
L100000102149,coal_power,2025-04-07,1,2.21,2.21
L100000102149,coal_power,2025-04-08,1,2.84,2.84
L100000102149,coal_power,2025-04-10,1,1.21,1.21
L100000102149,coal_power,2025-04-11,1,3.0,3.0
L100000102149,coal_power,2025-04-12,1,1.11,1.11
L100000102149,coal_power,2025-04-14,2,5.279999999999999,3.38
L100000102149,coal_power,2025-04-16,1,2.47,2.47
L100000102149,coal_power,2025-04-17,1,3.21,3.21
L100000102149,coal_power,2025-04-18,1,1.8,1.8
L100000102149,coal_power,2025-04-19,1,3.27,3.27
L100000102149,coal_power,2025-04-20,2,3.16,1.72
L100000102149,coal_power,2025-04-21,1,3.57,3.57
L100000102149,coal_power,2025-04-22,1,2.38,2.38
L100000102149,coal_power,2025-04-23,1,2.11,2.11
L100000102149,coal_power,2025-04-24,1,4.46,4.46
L100000102149,coal_power,2025-04-25,1,2.18,2.18
L100000102149,coal_power,2025-04-27,1,1.83,1.83
L100000102149,coal_power,2025-04-28,1,1.14,1.14
L100000102149,coal_power,2025-04-30,1,2.18,2.18
L100000102149,coal_power,2025-05-01,1,1.19,1.19
L100000102149,coal_power,2025-05-02,2,4.2299999999999995,2.82
L100000102149,coal_power,2025-05-03,1,2.46,2.46
L100000102149,coal_power,2025-05-04,1,2.17,2.17
L100000102149,coal_power,2025-05-06,3,5.33,2.44
L100000102149,coal_power,2025-05-07,1,2.37,2.37
L100000102149,coal_power,2025-05-10,1,4.89,4.89
L100000102149,coal_power,2025-05-11,1,0.67,0.67
L100000102149,coal_power,2025-05-14,1,2.16,2.16
L100000102149,coal_power,2025-05-29,1,0.83,0.83
L100000102149,coal_power,2025-06-01,1,2.59,2.59
L100000102149,coal_power,2025-06-02,1,2.86,2.86
L100000102149,coal_power,2025-06-04,1,2.58,2.58
L100000102149,coal_power,2025-06-09,1,6.79,6.79
L100000102149,coal_power,2025-06-13,2,6.35,3.68
L100000102149,coal_power,2025-06-15,1,5.58,5.58
L100000102149,coal_power,2025-08-09,1,4.86,4.86
L100000102149,coal_power,2025-08-16,2,2.99,1.87
