nearest_facility_id,nearest_facility_type,month,detections,active_days,mean_frp_mw,max_frp_mw
L100000102459,coal_power,12,14,11,1.0635714285714286,2.9
L100000102465,coal_power,1,1,1,5.34,5.34
L100000102465,coal_power,2,1,1,21.99,21.99
L100000102466,coal_power,4,3,3,5.57,6.46
L100000102466,coal_power,5,1,1,4.73,4.73
L100000102470,coal_power,2,1,1,8.48,8.48
L100000102471,coal_power,2,1,1,0.73,0.73
L100000102471,coal_power,3,3,2,3.8166666666666664,4.49
L100000102471,coal_power,4,3,3,3.17,5.74
L100000102471,coal_power,12,1,1,1.99,1.99
L100000102473,coal_power,3,2,2,2.58,3.64
L100000102474,coal_power,1,10,10,0.727,0.91
L100000102474,coal_power,2,8,8,0.91,1.3
L100000102474,coal_power,3,10,10,0.9280000000000002,1.51
L100000102474,coal_power,4,2,2,0.935,1.28
L100000102474,coal_power,5,4,3,1.1775,1.32
L100000102474,coal_power,9,3,3,1.9766666666666666,2.56
L100000102474,coal_power,11,8,7,0.865,0.95
L100000102474,coal_power,12,9,9,0.7,0.93
L100000102481,coal_power,1,59,29,2.2103389830508475,4.77
L100000102481,coal_power,2,59,27,2.2905084745762716,5.61
L100000102481,coal_power,3,58,29,2.666896551724138,5.21
L100000102481,coal_power,4,50,23,2.7708,6.39
L100000102481,coal_power,5,32,13,3.3109375,14.85
L100000102481,coal_power,6,16,11,2.564375,8.15
L100000102481,coal_power,7,2,2,1.87,2.37
L100000102481,coal_power,8,16,10,1.354375,2.64
L100000102481,coal_power,9,22,12,1.9309090909090911,7.84
L100000102481,coal_power,10,48,18,2.179375,5.18
L100000102481,coal_power,11,63,26,2.1128571428571425,5.37
L100000102481,coal_power,12,68,29,1.8405882352941176,4.9
L100000102489,coal_power,3,2,1,2.88,3.78
L100000102490,coal_power,2,2,2,2.425,4.12
L100000102490,coal_power,10,1,1,1.03,1.03
L100000102490,coal_power,12,1,1,0.82,0.82
L100000102492,coal_power,1,66,30,2.4751515151515155,6.41
L100000102492,coal_power,2,71,27,2.3064788732394366,5.25
L100000102492,coal_power,3,70,30,2.378857142857143,4.73
L100000102492,coal_power,4,42,22,2.7540476190476193,7.47
L100000102492,coal_power,5,39,17,2.4015384615384616,7.16
